Symptoms,HealthFactors,Age Group,Severity,Predicted Disease
"constipation, abdominal pain, back pain, hearing loss","COPD, high cholesterol, sleep apnea",teenager,mild,Sleep Apnea
"mood swings, fainting, fever, neck stiffness, hand tremors","occupational hazard, asthma, exposure to chemicals",adult,severe,Bipolar Disorder
urinary incontinence,anemia,adult,severe,Typhoid
"hand tremors, difficulty swallowing, unsteady gait, persistent hiccups, joint pain, difficulty speaking",family history of heart disease,adult,moderate,Conjunctivitis
"tingling sensation, trouble walking, chronic cough",sleep apnea,senior,mild,Hypothyroidism
"nausea, acid reflux, abdominal pain, painful urination","malnutrition, obesity",adult,mild,Migraine
"involuntary movements, tingling sensation, difficulty concentrating, insomnia","smoker, chronic liver disease, malnutrition",adult,moderate,Urinary Tract Infection
"involuntary movements, loss of balance, irritability, acid reflux, slow healing, nail changes","chronic kidney disease, night shift worker, frequent travel, autoimmune disorder",senior,moderate,Measles
"swollen lymph nodes, frequent headaches, persistent sneezing, frequent belching, hiccups, difficulty swallowing","recent infection, hypertension, thyroid disorder",senior,moderate,Arthritis
"loss of appetite, insomnia",autoimmune disorder,teenager,mild,Cerebral Palsy
"unsteady gait, cold hands and feet, loss of appetite, muscle stiffness","family history of cancer, alcohol use",adult,moderate,Rheumatoid Arthritis
"trouble walking, dry eyes, muscle pain, fever",,adult,severe,Hypertension
"sore throat, insomnia",autoimmune disorder,adult,moderate,Cerebral Palsy
fainting,"smoker, radiation exposure",senior,mild,Diabetes Type 2
hair loss,"pregnancy, stress",senior,severe,Epilepsy
abdominal pain,radiation exposure,adult,mild,Diabetes Type 2
"abdominal pain, cough, fainting, fever",,senior,mild,Diabetes Type 2
"frequent belching, difficulty urinating, frequent infections, anxiety","radiation exposure, long-term medication use, vitamin D deficiency",adult,mild,Skin Cancer
"fainting, bleeding gums, frequent belching","autoimmune disorder, allergies, urban living",teenager,mild,Ulcerative Colitis
"lump or swelling, groin pain, frequent urination, double vision, shortness of breath, fainting","chronic kidney disease, thyroid disorder, radiation exposure",teenager,mild,Pneumonia
"increased thirst, lightheadedness, loss of taste","exposure to chemicals, chronic kidney disease",adult,mild,Parkinson’s Disease
"neck stiffness, muscle stiffness, dry eyes",thyroid disorder,child,mild,Osteoporosis
"depression, shortness of breath, dizziness","high cholesterol, pregnancy, urban living",teenager,mild,Stroke
"hand tremors, frequent belching","pregnancy, exposure to chemicals",senior,severe,COPD
"frequent infections, mood swings, voice tremor, difficulty swallowing","rural living, pregnancy, asthma",adult,moderate,Addison’s Disease
"lightheadedness, cough, tremors, abdominal pain","alcohol use, autoimmune disorder, thyroid disorder",teenager,moderate,Sinusitis
hand tremors,"smoker, HIV positive, mental health disorder, recent surgery",child,mild,Congestive Heart Failure
hand tremors,HIV positive,adult,severe,Multiple Sclerosis
muscle pain,autoimmune disorder,adult,moderate,Hypertension
"difficulty urinating, joint pain, difficulty speaking, fever",,adult,severe,Glaucoma
"depression, insomnia, nosebleeds",,senior,moderate,Hepatitis C
"rash, memory loss, itching, hair loss",,adult,moderate,Vitamin B12 Deficiency
"painful urination, abdominal pain","malnutrition, obesity, sleep apnea",teenager,moderate,Migraine
"dry eyes, hoarseness",,child,moderate,Lung Cancer
abdominal pain,thyroid disorder,child,moderate,Sinusitis
"heat intolerance, irregular heartbeat, difficulty urinating",,adult,severe,Lymphoma
"mood swings, low energy, frequent headaches, double vision, frequent belching, muscle stiffness","mental health disorder, chronic liver disease, stress, obesity",adult,mild,Asthma
hand tremors,allergies,adult,mild,Chickenpox
"dry mouth, cold hands and feet","long-term medication use, recent surgery, asthma, diabetes",teenager,moderate,Lung Cancer
"hair loss, heat intolerance","diabetes, recent surgery",senior,mild,COVID-19
"vomiting, hoarseness, difficulty breathing at night",asthma,senior,moderate,Down Syndrome
"insomnia, rash","sleep apnea, smoker",adult,mild,Schizophrenia
slow healing,"frequent travel, high cholesterol",senior,moderate,Coronary Artery Disease
"mood swings, skin discoloration",rural living,senior,moderate,Meningitis
weight loss,"smoker, malnutrition",adult,mild,Tetanus
"yellowing of eyes, shortness of breath, numbness","family history of cancer, radiation exposure",adult,mild,Transient Ischemic Attack
"cold hands and feet, dry eyes, hoarseness","recent surgery, asthma",adult,severe,Lung Cancer
"heat intolerance, abdominal pain, irregular heartbeat, difficulty urinating",family history of cancer,adult,moderate,Lymphoma
"insomnia, urinary incontinence, difficulty sleeping, rash, fainting",sleep apnea,teenager,severe,Schizophrenia
"hair loss, heat intolerance, skin discoloration, dizziness","diabetes, high cholesterol",adult,moderate,COVID-19
"acid reflux, persistent hiccups, insomnia, skin discoloration","asthma, malnutrition",adult,moderate,Irritable Bowel Syndrome
"difficulty concentrating, loss of appetite, gas/bloating, sore throat, painful urination","chronic kidney disease, chronic liver disease, rural living",adult,moderate,Bronchitis
"acid reflux, trouble walking, tingling sensation, chronic cough","autoimmune disorder, chronic kidney disease, sleep apnea",child,severe,Hypothyroidism
"heat intolerance, shortness of breath, depression","autoimmune disorder, pregnancy",senior,moderate,Stroke
loss of appetite,"autoimmune disorder, low immunity",senior,severe,Cerebral Palsy
"fainting, frequent belching, voice tremor","allergies, urban living, sleep apnea, autoimmune disorder",adult,moderate,Ulcerative Colitis
"insomnia, nosebleeds, weight loss, depression, loss of balance, difficulty sleeping","hypertension, chronic kidney disease, vitamin D deficiency",adult,mild,Hepatitis C
cough,alcohol use,adult,moderate,Macular Degeneration
hiccups,"HIV positive, stress",senior,mild,Mumps
"painful urination, abdominal pain",,teenager,moderate,Migraine
"fainting, rash",,senior,moderate,Schizophrenia
"memory loss, nosebleeds, difficulty breathing at night, shortness of breath, frequent infections, hair loss, palpitations","hypertension, alcohol use",senior,mild,Cirrhosis
"skin discoloration, persistent hiccups, insomnia","long-term medication use, malnutrition, asthma",adult,moderate,Irritable Bowel Syndrome
"dizziness, nail changes, bleeding gums","thyroid disorder, chronic liver disease",adult,severe,Common Cold
"lightheadedness, sensitivity to light, lump or swelling, trouble walking, tingling sensation",chronic kidney disease,adult,mild,Breast Cancer
"hallucinations, hand tremors, cough","alcohol use, exposure to chemicals, frequent travel",adult,severe,Insomnia
"yellowing of eyes, numbness, craving for salt, shortness of breath",,adult,moderate,Transient Ischemic Attack
"nail changes, involuntary movements, hallucinations","recent infection, stress",senior,severe,PCOS
"abdominal pain, lump or swelling, heat intolerance, ear pain, confusion","HIV positive, occupational hazard",adult,mild,Gastroenteritis
"frequent infections, drooling","rural living, HIV positive, night shift worker",adult,mild,Influenza
"sensitivity to light, trouble walking, lump or swelling, tingling sensation",,adult,mild,Breast Cancer
"nosebleeds, cough, fatigue, hallucinations, hand tremors",smoker,child,mild,Insomnia
"change in voice, muscle stiffness, leg cramps, increased thirst, cold hands and feet","anemia, alcohol use, family history of cancer",adult,moderate,Rheumatoid Arthritis
"lightheadedness, abdominal pain","alcohol use, autoimmune disorder, thyroid disorder",child,moderate,Sinusitis
"persistent hiccups, hand tremors, difficulty swallowing, joint pain, difficulty speaking, unsteady gait","family history of heart disease, urban living",adult,moderate,Conjunctivitis
"difficulty sleeping, insomnia, rash, urinary incontinence",smoker,child,severe,Schizophrenia
"irregular heartbeat, lightheadedness, confusion, fever, painful urination, low energy","exposure to chemicals, obesity",adult,moderate,Tuberculosis
"irregular heartbeat, yellowing of eyes, wheezing",hypertension,adult,moderate,Epilepsy
"hoarseness, dry eyes, cold hands and feet, dry mouth","asthma, diabetes",senior,mild,Lung Cancer
"insomnia, muscle pain, trouble walking, dry eyes","low immunity, mental health disorder, HIV positive, autoimmune disorder",senior,moderate,Hypertension
facial drooping,"asthma, anemia, diabetes",teenager,moderate,Chronic Kidney Disease
"shortness of breath, yellowing of eyes, numbness",radiation exposure,adult,moderate,Transient Ischemic Attack
difficulty urinating,chronic kidney disease,adult,moderate,Glaucoma
"hoarseness, vomiting, chronic cough, weight loss, difficulty breathing at night",,senior,severe,Down Syndrome
involuntary movements,,child,mild,Measles
"weight loss, nosebleeds, loss of balance, depression, insomnia",,adult,moderate,Hepatitis C
"sensitivity to light, abdominal pain, back pain, constipation","COPD, high cholesterol",adult,mild,Sleep Apnea
"double vision, heat intolerance, rash, swollen lymph nodes, night sweats, persistent sneezing, nail changes",exposure to chemicals,teenager,mild,Kidney Stones
"voice tremor, loss of balance, vision loss, memory loss, cold hands and feet, difficulty urinating, hand tremors","mental health disorder, HIV positive, recent surgery",adult,mild,Congestive Heart Failure
"swollen lymph nodes, rash","low immunity, chronic kidney disease",adult,moderate,Kidney Stones
"neck stiffness, muscle stiffness, dry eyes",thyroid disorder,senior,mild,Osteoporosis
"neck stiffness, wheezing, difficulty swallowing, headache, diarrhea, constipation, abdominal pain","exposure to chemicals, long-term medication use",child,moderate,Lupus
"joint pain, loss of balance, difficulty sleeping, dizziness, insomnia",,adult,severe,Colon Cancer
"fainting, wheezing","exposure to chemicals, occupational hazard, asthma",senior,mild,Bipolar Disorder
"depression, shortness of breath, dizziness",pregnancy,child,severe,Stroke
"mood swings, unsteady gait, difficulty swallowing","asthma, rural living",adult,severe,Addison’s Disease
"memory loss, hair loss, itching, chest pain",,adult,severe,Vitamin B12 Deficiency
insomnia,"chronic liver disease, smoker, malnutrition",teenager,moderate,Gallstones
"hiccups, depression, involuntary movements, weight loss","HIV positive, stress",adult,mild,Mumps
"sore throat, weight loss, swelling in legs","malnutrition, smoker",child,mild,Tetanus
"mood swings, anxiety, joint pain",,adult,moderate,Meningitis
"bleeding gums, frequent belching, voice tremor, fainting","autoimmune disorder, urban living",child,mild,Ulcerative Colitis
"palpitations, constipation, unsteady gait","occupational hazard, night shift worker",adult,moderate,Arrhythmia
"hoarseness, leg cramps, diarrhea, wheezing, cold hands and feet","obesity, mental health disorder, sleep apnea",adult,severe,Hepatitis B
"sensitivity to light, trouble walking, tingling sensation",,adult,moderate,Breast Cancer
"muscle stiffness, mood swings","chronic liver disease, stress",senior,mild,Asthma
"skin discoloration, joint pain, anxiety, mood swings",,teenager,mild,Meningitis
"mood swings, frequent infections, voice tremor",,adult,mild,Addison’s Disease
"easy bruising, anxiety, leg cramps, nausea, slow healing, vomiting","occupational hazard, high cholesterol",adult,moderate,Coronary Artery Disease
hoarseness,"diabetes, hypertension",adult,moderate,Autism Spectrum Disorder
"diarrhea, neck stiffness, abdominal pain, headache, wheezing, constipation, difficulty swallowing","long-term medication use, exposure to chemicals",child,severe,Lupus
depression,high cholesterol,senior,mild,Stroke
urinary incontinence,"smoker, sleep apnea",adult,moderate,Schizophrenia
"constipation, muscle pain, back pain","COPD, chronic kidney disease, long-term medication use",teenager,moderate,Peptic Ulcer
involuntary movements,"malnutrition, chronic liver disease, smoker",senior,mild,Urinary Tract Infection
"fainting, difficulty sleeping, insomnia, rash, urinary incontinence",sleep apnea,child,moderate,Schizophrenia
"muscle pain, insomnia","low immunity, autoimmune disorder",senior,moderate,Hypertension
"bleeding gums, nail changes, fever, dizziness",thyroid disorder,adult,moderate,Common Cold
"persistent hiccups, loss of taste, groin pain","anemia, diabetes",senior,mild,Chronic Kidney Disease
"diarrhea, difficulty sleeping, swelling in legs, blurred vision, irritability",,senior,mild,Malaria
"hand tremors, hallucinations",smoker,adult,severe,Insomnia
"fever, trouble walking, insomnia, muscle pain, dry eyes","mental health disorder, autoimmune disorder, HIV positive, low immunity",adult,moderate,Hypertension
"sore throat, weight loss","obesity, rural living",adult,mild,Bronchitis
"difficulty speaking, hand tremors, urinary incontinence","chronic liver disease, HIV positive",senior,mild,Multiple Sclerosis
"double vision, fainting",thyroid disorder,senior,moderate,Pneumonia
"hand tremors, low energy, numbness, rash, wheezing","high cholesterol, allergies",senior,severe,Chickenpox
"fever, irregular heartbeat, painful urination, lightheadedness",,adult,severe,Tuberculosis
"difficulty breathing at night, hair loss, nosebleeds, frequent infections, shortness of breath, palpitations, memory loss",alcohol use,senior,moderate,Cirrhosis
"difficulty swallowing, voice tremor, frequent infections, mood swings",,adult,mild,Addison’s Disease
"irritability, difficulty sleeping, diarrhea, swelling in legs","radiation exposure, chronic kidney disease",adult,severe,Malaria
"difficulty sleeping, chronic cough, acid reflux",sleep apnea,teenager,mild,Hypothyroidism
"nosebleeds, hallucinations, cough, fatigue, hand tremors, drooling","smoker, alcohol use, frequent travel",adult,mild,Insomnia
"palpitations, gas/bloating, persistent sneezing, numbness, hand tremors",chronic liver disease,senior,severe,Tension Headache
"irregular heartbeat, yellowing of eyes, wheezing, frequent belching, hair loss",stress,adult,mild,Epilepsy
"memory loss, palpitations, hair loss, nosebleeds, difficulty breathing at night, frequent infections, shortness of breath","night shift worker, hypertension, alcohol use",adult,severe,Cirrhosis
"lightheadedness, trouble walking","chronic kidney disease, stress, rural living, allergies",adult,mild,Breast Cancer
hair loss,HIV positive,adult,moderate,Otitis Media
"muscle stiffness, neck stiffness","thyroid disorder, radiation exposure",adult,mild,Osteoporosis
heat intolerance,"high cholesterol, recent surgery, chronic kidney disease",adult,mild,COVID-19
"diarrhea, leg cramps, hoarseness, wheezing, cold hands and feet","obesity, mental health disorder, sleep apnea",adult,mild,Hepatitis B
"insomnia, loss of balance","family history of heart disease, hypertension",adult,severe,Colon Cancer
"dizziness, skin discoloration, heat intolerance","diabetes, high cholesterol, recent surgery, chronic kidney disease",adult,severe,COVID-19
"mood swings, joint pain","rural living, alcohol use, occupational hazard",teenager,moderate,Meningitis
"difficulty speaking, loss of balance, dry eyes, difficulty breathing at night, joint pain",,adult,severe,Dengue Fever
"frequent belching, difficulty swallowing, persistent sneezing, hiccups, frequent headaches",hypertension,senior,moderate,Arthritis
weight loss,"family history of heart disease, night shift worker, alcohol use",senior,mild,Zika Virus
"urinary incontinence, tremors, nausea, difficulty speaking, difficulty sleeping, hand tremors",urban living,adult,mild,Multiple Sclerosis
lightheadedness,family history of cancer,adult,moderate,Leukemia
nosebleeds,"hypertension, vitamin D deficiency",teenager,moderate,Hepatitis C
"lightheadedness, loss of taste","exposure to chemicals, chronic kidney disease, occupational hazard",adult,moderate,Parkinson’s Disease
abdominal pain,"obesity, malnutrition, sleep apnea",adult,mild,Migraine
increased thirst,,adult,mild,Rheumatoid Arthritis
"voice tremor, loss of balance","family history of heart disease, obesity",adult,moderate,Hyperthyroidism
sore throat,"low immunity, autoimmune disorder",adult,severe,Cerebral Palsy
"loss of balance, heat intolerance, hiccups, involuntary movements",,senior,severe,Pancreatitis
hand tremors,"malnutrition, asthma",adult,moderate,Tension Headache
"frequent headaches, muscle stiffness, frequent belching, low energy, double vision, mood swings",mental health disorder,adult,moderate,Asthma
"vision loss, neck stiffness",thyroid disorder,adult,moderate,Anemia
"skin discoloration, difficulty swallowing, chest pain",chronic kidney disease,adult,mild,Cataract
"loss of smell, swelling in legs",,adult,moderate,Anxiety Disorder
"lump or swelling, groin pain, double vision, frequent headaches, fainting","thyroid disorder, radiation exposure, chronic kidney disease",adult,mild,Pneumonia
"palpitations, constipation, unsteady gait, muscle stiffness, muscle pain","night shift worker, stress",adult,severe,Arrhythmia
"insomnia, rash, urinary incontinence",,teenager,mild,Schizophrenia
"weight loss, painful urination, loss of appetite, gas/bloating, difficulty concentrating","chronic liver disease, rural living",teenager,moderate,Bronchitis
"cough, difficulty swallowing, painful urination","pregnancy, malnutrition",senior,moderate,Macular Degeneration
anxiety,vitamin D deficiency,adult,severe,Skin Cancer
"muscle pain, insomnia, trouble walking",,senior,mild,Hypertension
dry eyes,"mental health disorder, low immunity, HIV positive",adult,mild,Hypertension
groin pain,"high cholesterol, asthma, diabetes, anemia",adult,moderate,Chronic Kidney Disease
"difficulty sleeping, urinary incontinence, hand tremors, difficulty speaking, nausea, tremors","urban living, HIV positive, chronic liver disease",adult,mild,Multiple Sclerosis
"frequent headaches, groin pain, double vision, frequent urination, lump or swelling, fainting, shortness of breath",,adult,severe,Pneumonia
"difficulty swallowing, diarrhea, headache, neck stiffness, abdominal pain, wheezing","exposure to chemicals, long-term medication use",adult,mild,Lupus
"difficulty speaking, back pain, constipation","long-term medication use, obesity, chronic kidney disease, COPD",child,moderate,Peptic Ulcer
"hand tremors, fever",occupational hazard,teenager,severe,Bipolar Disorder
joint pain,,adult,mild,Conjunctivitis
"irregular heartbeat, numbness, yellowing of eyes, hoarseness, craving for salt","family history of cancer, radiation exposure",adult,moderate,Transient Ischemic Attack
"difficulty urinating, loss of taste","sedentary lifestyle, family history of cancer, family history of heart disease",child,moderate,Lymphoma
"weight loss, gas/bloating, painful urination","rural living, obesity",teenager,moderate,Bronchitis
"heat intolerance, hair loss",high cholesterol,adult,severe,COVID-19
"difficulty swallowing, yellowing of eyes, repetitive movements","recent infection, anemia, frequent travel",adult,mild,Typhoid
joint pain,frequent travel,senior,severe,Depression
"lightheadedness, wheezing, persistent sneezing",,child,moderate,Leukemia
"headache, abdominal pain",exposure to chemicals,senior,severe,Lupus
difficulty breathing at night,,senior,mild,Cirrhosis
"involuntary movements, hallucinations, acid reflux, nail changes",alcohol use,teenager,mild,PCOS
"constipation, muscle pain, palpitations, unsteady gait, muscle stiffness",,adult,moderate,Arrhythmia
"irregular heartbeat, shortness of breath, yellowing of eyes, craving for salt, confusion","family history of cancer, radiation exposure",adult,mild,Transient Ischemic Attack
"hoarseness, cold hands and feet, diarrhea, leg cramps, wheezing",mental health disorder,child,mild,Hepatitis B
"increased thirst, leg cramps, lightheadedness, chronic cough, loss of taste","occupational hazard, exposure to chemicals, chronic kidney disease",teenager,severe,Parkinson’s Disease
"dizziness, shortness of breath, heat intolerance, depression","high cholesterol, pregnancy, urban living",adult,mild,Stroke
"easy bruising, groin pain, urinary incontinence","smoker, chronic liver disease",adult,moderate,Gallstones
"fainting, rash, urinary incontinence, insomnia",sleep apnea,teenager,moderate,Schizophrenia
"muscle stiffness, chronic cough","alcohol use, urban living",adult,mild,Otitis Media
"diarrhea, headache, constipation, neck stiffness, abdominal pain, difficulty swallowing","long-term medication use, exposure to chemicals",senior,moderate,Lupus
gas/bloating,"chronic liver disease, rural living",adult,severe,Bronchitis
"blurred vision, loss of appetite, muscle stiffness, frequent infections, swelling in legs","vitamin D deficiency, family history of cancer",adult,moderate,Anxiety Disorder
"hair loss, palpitations, shortness of breath, difficulty breathing at night, nosebleeds, frequent infections",,adult,moderate,Cirrhosis
"depression, frequent headaches, persistent sneezing, hoarseness",,adult,moderate,Autism Spectrum Disorder
"chest pain, rash, loss of balance","occupational hazard, urban living, stress",teenager,moderate,Vitamin B12 Deficiency
"weight loss, irritability, neck stiffness, craving for salt","night shift worker, alcohol use, family history of heart disease",senior,mild,Zika Virus
"mood swings, voice tremor, unsteady gait","rural living, pregnancy, asthma",adult,mild,Addison’s Disease
"dry mouth, irregular heartbeat, yellowing of eyes, frequent belching","stress, pregnancy, hypertension",senior,mild,Epilepsy
muscle stiffness,"radiation exposure, diabetes, thyroid disorder",teenager,moderate,Osteoporosis
"unsteady gait, constipation, muscle stiffness, palpitations, muscle pain",stress,adult,severe,Arrhythmia
"voice tremor, loss of balance, difficulty concentrating, increased thirst, chest pain",,adult,mild,Hyperthyroidism
"hoarseness, leg cramps, wheezing, diarrhea, cold hands and feet",sleep apnea,senior,mild,Hepatitis B
"joint pain, slow healing","frequent travel, long-term medication use",adult,mild,Depression
"loss of balance, difficulty sleeping, insomnia, gas/bloating, dizziness",family history of heart disease,adult,mild,Colon Cancer
"confusion, low energy, fever, lightheadedness, painful urination, irregular heartbeat",exposure to chemicals,adult,severe,Tuberculosis
"blurred vision, swelling in legs, ear pain, muscle stiffness","vitamin D deficiency, COPD",adult,mild,Anxiety Disorder
nausea,"obesity, sleep apnea, anemia",adult,mild,Migraine
"hiccups, loss of balance",,senior,severe,Pancreatitis
"unsteady gait, skin discoloration, hallucinations, dry mouth, difficulty swallowing","alcohol use, occupational hazard, malnutrition",adult,mild,Alzheimer’s Disease
insomnia,low immunity,adult,moderate,Cerebral Palsy
"craving for salt, irregular heartbeat, numbness, hoarseness",family history of cancer,adult,moderate,Transient Ischemic Attack
loss of appetite,"chronic kidney disease, low immunity, family history of cancer",adult,mild,Iron Deficiency
"difficulty breathing at night, low energy, joint pain, loss of balance, difficulty speaking, dry eyes","pregnancy, allergies",senior,mild,Dengue Fever
fever,,adult,severe,Diabetes Type 2
"wheezing, low energy, persistent sneezing, lightheadedness","family history of cancer, alcohol use, long-term medication use",senior,mild,Leukemia
"dizziness, nail changes","thyroid disorder, COPD",teenager,moderate,Common Cold
"shortness of breath, frequent urination, fainting, double vision, lump or swelling, groin pain",thyroid disorder,senior,moderate,Pneumonia
"groin pain, persistent hiccups","high cholesterol, asthma, anemia",adult,moderate,Chronic Kidney Disease
"dry eyes, lightheadedness, neck stiffness, muscle stiffness","radiation exposure, diabetes",child,moderate,Osteoporosis
"difficulty sleeping, rash, fainting, urinary incontinence, insomnia",sleep apnea,adult,mild,Schizophrenia
"shortness of breath, depression, dizziness, heat intolerance","pregnancy, autoimmune disorder",adult,mild,Stroke
"hand tremors, difficulty urinating, vision loss, memory loss, voice tremor, cold hands and feet, loss of balance",mental health disorder,adult,moderate,Congestive Heart Failure
"swollen lymph nodes, difficulty swallowing, persistent sneezing, hiccups, frequent headaches, frequent belching",thyroid disorder,teenager,moderate,Arthritis
muscle pain,"chronic kidney disease, COPD",senior,mild,Peptic Ulcer
joint pain,family history of heart disease,adult,mild,Colon Cancer
"difficulty swallowing, groin pain, cough, chest pain","occupational hazard, alcohol use, pregnancy, malnutrition",senior,moderate,Macular Degeneration
lightheadedness,"family history of cancer, long-term medication use, alcohol use",teenager,moderate,Leukemia
"acid reflux, tingling sensation, chronic cough, difficulty sleeping","chronic kidney disease, autoimmune disorder",senior,moderate,Hypothyroidism
increased thirst,obesity,adult,mild,Hyperthyroidism
"swelling in legs, change in voice, urinary incontinence, drooling, easy bruising, insomnia, groin pain",malnutrition,child,mild,Gallstones
"persistent hiccups, facial drooping, groin pain",,adult,moderate,Chronic Kidney Disease
"shortness of breath, heat intolerance","urban living, high cholesterol",child,moderate,Stroke
"memory loss, neck stiffness, constipation, vision loss, difficulty swallowing","low immunity, mental health disorder, thyroid disorder",child,moderate,Anemia
"neck stiffness, fainting, constipation, loss of smell, memory loss","low immunity, thyroid disorder, urban living, mental health disorder",child,severe,Anemia
"loss of balance, voice tremor, increased thirst, difficulty concentrating, back pain",obesity,adult,moderate,Hyperthyroidism
"hoarseness, leg cramps, wheezing, diarrhea, cold hands and feet","mental health disorder, obesity, sleep apnea",adult,moderate,Hepatitis B
"nosebleeds, weight loss, difficulty sleeping, insomnia, loss of balance, depression","hypertension, chronic kidney disease, vitamin D deficiency",adult,moderate,Hepatitis C
"hoarseness, diarrhea, cold hands and feet, leg cramps",,adult,mild,Hepatitis B
"painful urination, muscle stiffness",alcohol use,child,severe,Otitis Media
"groin pain, frequent headaches, shortness of breath, frequent urination, double vision, fainting",radiation exposure,adult,moderate,Pneumonia
"hoarseness, neck stiffness, lightheadedness, muscle stiffness",thyroid disorder,adult,mild,Osteoporosis
"painful urination, irregular heartbeat",hypertension,adult,severe,Tuberculosis
"mood swings, low energy, double vision",mental health disorder,adult,mild,Asthma
"irregular heartbeat, lightheadedness, confusion","vitamin D deficiency, exposure to chemicals",adult,moderate,Tuberculosis
"cold hands and feet, loss of appetite, muscle stiffness","family history of cancer, alcohol use, anemia",adult,moderate,Rheumatoid Arthritis
tingling sensation,sleep apnea,adult,mild,Hypothyroidism
"wheezing, abdominal pain, diarrhea, difficulty swallowing, constipation",exposure to chemicals,teenager,severe,Lupus
"frequent headaches, low energy, double vision","mental health disorder, stress, obesity",adult,severe,Asthma
"rash, fainting, insomnia, difficulty sleeping, urinary incontinence","smoker, sleep apnea",senior,moderate,Schizophrenia
"hand tremors, rash, numbness",high cholesterol,senior,mild,Chickenpox
"blurred vision, loss of smell, swelling in legs, muscle stiffness, ear pain, frequent infections",family history of cancer,child,mild,Anxiety Disorder
"muscle pain, back pain, difficulty speaking",,adult,moderate,Peptic Ulcer
"palpitations, persistent sneezing",asthma,senior,mild,Tension Headache
"leg cramps, change in voice","family history of cancer, alcohol use",teenager,mild,Rheumatoid Arthritis
"trouble walking, chronic cough, tingling sensation, difficulty sleeping","autoimmune disorder, sleep apnea, chronic kidney disease, malnutrition",teenager,moderate,Hypothyroidism
leg cramps,,adult,severe,Rheumatoid Arthritis
"cough, abdominal pain",autoimmune disorder,adult,severe,Sinusitis
"hearing loss, sensitivity to light, abdominal pain",,senior,moderate,Sleep Apnea
"shortness of breath, dizziness","high cholesterol, autoimmune disorder, pregnancy",child,severe,Stroke
"confusion, lightheadedness, irregular heartbeat, painful urination, fever","vitamin D deficiency, hypertension",adult,mild,Tuberculosis
"palpitations, slow healing, joint pain, chronic cough",anemia,adult,mild,Depression
"loss of smell, loss of appetite, ear pain, swelling in legs",,adult,mild,Anxiety Disorder
"hallucinations, insomnia, loss of appetite",,adult,moderate,Cerebral Palsy
"unsteady gait, muscle pain, palpitations, muscle stiffness",night shift worker,child,moderate,Arrhythmia
"irregular heartbeat, loss of taste, difficulty urinating","family history of heart disease, family history of cancer, sedentary lifestyle",adult,severe,Lymphoma
cough,"alcohol use, smoker",adult,moderate,Insomnia
"low energy, loss of balance","allergies, pregnancy",senior,moderate,Dengue Fever
"abdominal pain, fever, weight loss, fainting, cough",smoker,child,moderate,Diabetes Type 2
"chronic cough, hoarseness, vomiting",,adult,moderate,Down Syndrome
"insomnia, difficulty breathing at night, hallucinations, sore throat",,teenager,moderate,Cerebral Palsy
"chest pain, difficulty swallowing, nail changes, leg cramps","chronic kidney disease, frequent travel, allergies",adult,severe,Cataract
"difficulty breathing at night, weight loss","allergies, asthma, hypertension",adult,mild,Down Syndrome
"nail changes, fever","thyroid disorder, COPD",adult,severe,Common Cold
hand tremors,,child,moderate,Tension Headache
"heat intolerance, dry mouth, blurred vision, double vision, frequent infections",family history of cancer,adult,moderate,Cushing Syndrome
"loss of appetite, ear pain",family history of cancer,adult,moderate,Anxiety Disorder
"persistent hiccups, hand tremors, confusion, frequent belching","pregnancy, exposure to chemicals",teenager,mild,COPD
"frequent headaches, groin pain, shortness of breath, fainting","thyroid disorder, chronic kidney disease",adult,mild,Pneumonia
leg cramps,"chronic kidney disease, frequent travel",child,mild,Cataract
"cough, hallucinations","exposure to chemicals, frequent travel, smoker, alcohol use",adult,moderate,Insomnia
"slow healing, vomiting, leg cramps, easy bruising",,senior,mild,Coronary Artery Disease
"heat intolerance, difficulty urinating",family history of heart disease,senior,severe,Lymphoma
difficulty urinating,family history of cancer,adult,moderate,Glaucoma
"fatigue, nosebleeds, hand tremors, drooling","smoker, alcohol use, frequent travel",senior,moderate,Insomnia
"groin pain, facial drooping",asthma,adult,moderate,Chronic Kidney Disease
tremors,,adult,moderate,Multiple Sclerosis
"loss of balance, difficulty speaking, low energy","allergies, pregnancy",teenager,mild,Dengue Fever
"abdominal pain, nausea, painful urination, acid reflux",,adult,severe,Migraine
"abdominal pain, headache, difficulty swallowing, constipation",exposure to chemicals,child,severe,Lupus
"wheezing, painful urination, gas/bloating, weight loss, loss of appetite, difficulty concentrating","rural living, chronic liver disease, obesity",adult,mild,Bronchitis
"difficulty concentrating, repetitive movements","frequent travel, recent infection, anemia",teenager,moderate,Typhoid
"painful urination, gas/bloating, wheezing, loss of appetite, sore throat, weight loss, difficulty concentrating","chronic kidney disease, chronic liver disease, rural living, obesity",child,mild,Bronchitis
hand tremors,,adult,severe,Congestive Heart Failure
"nail changes, leg cramps, skin discoloration","allergies, chronic kidney disease, frequent travel",adult,moderate,Cataract
"cough, abdominal pain, fever",radiation exposure,child,moderate,Diabetes Type 2
"drooling, yellowing of eyes, difficulty breathing at night","vitamin D deficiency, HIV positive, night shift worker",adult,mild,Influenza
"muscle stiffness, ear pain, loss of smell, frequent infections",family history of cancer,adult,moderate,Anxiety Disorder
