symptom,predictedDisease,healthFactor,ageGroup,severity,userPreference,conventionalMedicine,alternativeMedicine,conventionalMedicineRating,alternativeMedicineRating
insomnia,Sleep Disorder,heart disease,adult,moderate,no preference,Melatonin,"Lavender Oil, Passionflower",4.4,3.2
cough,Common Cold,hypertension,adult,severe,pharmaceutical,Dextromethorphan,"Thyme Tea, Mulethi",3.6,4.0
skin rash,Allergic Reaction,asthma,child,moderate,no preference,Antihistamine,"Aloe Vera, Calendula",4.5,3.8
anxiety,Generalized Anxiety Disorder,obesity,child,moderate,pharmaceutical,Alprazolam,"L-Theanine, Chamomile",4.8,4.4
skin rash,Allergic Reaction,diabetes,senior,moderate,no preference,Antihistamine,"Calendula, Oatmeal",3.5,3.8
anxiety,Generalized Anxiety Disorder,diabetes,child,moderate,no preference,Alprazolam,"L-Theanine, Valerian Root",3.6,3.1
fatigue,Chronic Fatigue Syndrome,allergies,senior,mild,herbal,Vitamin B12,"Ashwagandha, Ginseng",4.3,3.3
stomach pain,Gastritis,heart disease,child,mild,no preference,Omeprazole,"Fennel Seeds, Chamomile",3.7,4.4
insomnia,Sleep Disorder,no known condition,senior,moderate,no preference,Melatonin,"Passionflower, Magnesium",3.8,5.0
fever,Viral Infection,no known condition,child,moderate,no preference,Ibuprofen,"Tulsi Tea, Elderberry",4.9,4.2
fatigue,Chronic Fatigue Syndrome,no known condition,senior,mild,pharmaceutical,Vitamin B12,"Ashwagandha, Ginseng",3.6,4.1
anxiety,Generalized Anxiety Disorder,diabetes,senior,moderate,no preference,Alprazolam,"L-Theanine, Valerian Root",3.6,4.3
cough,Common Cold,obesity,senior,severe,herbal,Dextromethorphan,"Mulethi, Honey & Ginger",4.1,5.0
stomach pain,Gastritis,asthma,child,mild,pharmaceutical,Omeprazole,"Chamomile, Fennel Seeds",4.4,4.9
anxiety,Generalized Anxiety Disorder,no known condition,child,moderate,pharmaceutical,Alprazolam,"Valerian Root, Chamomile",3.6,3.9
joint pain,Arthritis,allergies,adult,moderate,no preference,Ibuprofen,"Boswellia, Devil’s Claw",4.6,4.2
headache,Migraine,asthma,senior,severe,herbal,Paracetamol,"Magnesium, Feverfew",4.7,3.7
insomnia,Sleep Disorder,asthma,adult,mild,herbal,Melatonin,"Lavender Oil, Magnesium",3.6,3.9
sore throat,Strep Throat,allergies,adult,mild,no preference,Throat Lozenges,"Slippery Elm, Licorice Root Tea",4.2,3.3
stomach pain,Gastritis,hypertension,child,severe,no preference,Omeprazole,"Probiotics, Fennel Seeds",4.4,4.9
headache,Migraine,no known condition,senior,moderate,herbal,Paracetamol,"Magnesium, Butterbur",4.0,3.7
cough,Common Cold,hypertension,adult,severe,no preference,Dextromethorphan,"Honey & Ginger, Thyme Tea",4.7,3.0
nausea,Gastroenteritis,obesity,adult,mild,pharmaceutical,Ondansetron,"Peppermint Oil, Ginger",4.1,4.8
dizziness,Vertigo,no known condition,senior,severe,no preference,Meclizine,"Bacopa, Ginger",4.5,3.9
muscle pain,Fibromyalgia,obesity,adult,mild,herbal,Diclofenac,"Arnica, Massage Therapy",4.0,3.2
stomach pain,Gastritis,obesity,adult,moderate,pharmaceutical,Omeprazole,"Probiotics, Fennel Seeds",4.9,4.3
shortness of breath,Asthma,hypertension,adult,severe,herbal,Albuterol,"Quercetin, Deep Breathing",3.5,4.9
anxiety,Generalized Anxiety Disorder,asthma,adult,mild,pharmaceutical,Alprazolam,"Chamomile, L-Theanine",4.2,3.6
skin rash,Allergic Reaction,no known condition,adult,moderate,herbal,Antihistamine,"Calendula, Oatmeal",4.8,4.5
skin rash,Allergic Reaction,obesity,adult,severe,no preference,Antihistamine,"Calendula, Oatmeal",4.3,4.1
nausea,Gastroenteritis,diabetes,senior,moderate,pharmaceutical,Ondansetron,"Lemon Balm, Ginger",4.7,3.7
sore throat,Strep Throat,heart disease,senior,mild,pharmaceutical,Throat Lozenges,"Slippery Elm, Saltwater Gargle",4.3,4.6
fever,Viral Infection,allergies,senior,mild,no preference,Ibuprofen,"Tulsi Tea, Giloy",4.7,4.2
anxiety,Generalized Anxiety Disorder,hypertension,adult,severe,herbal,Alprazolam,"Chamomile, L-Theanine",4.1,3.6
cough,Common Cold,obesity,adult,moderate,pharmaceutical,Dextromethorphan,"Honey & Ginger, Mulethi",4.1,4.9
joint pain,Arthritis,obesity,child,severe,no preference,Ibuprofen,"Turmeric, Devil’s Claw",4.6,5.0
stomach pain,Gastritis,asthma,child,moderate,herbal,Omeprazole,"Fennel Seeds, Probiotics",4.6,4.1
dizziness,Vertigo,allergies,child,moderate,herbal,Meclizine,"Ginseng, Ginger",3.5,3.9
fever,Viral Infection,diabetes,child,moderate,no preference,Ibuprofen,"Tulsi Tea, Giloy",3.6,4.9
nausea,Gastroenteritis,hypertension,senior,severe,no preference,Ondansetron,"Peppermint Oil, Ginger",4.3,3.5
nausea,Gastroenteritis,asthma,senior,mild,herbal,Ondansetron,"Lemon Balm, Ginger",3.6,4.8
sore throat,Strep Throat,allergies,adult,mild,no preference,Throat Lozenges,"Licorice Root Tea, Slippery Elm",4.0,3.0
headache,Migraine,allergies,adult,moderate,herbal,Paracetamol,"Feverfew, Magnesium",4.6,4.8
anxiety,Generalized Anxiety Disorder,hypertension,child,moderate,pharmaceutical,Alprazolam,"Valerian Root, L-Theanine",3.7,3.9
stomach pain,Gastritis,allergies,adult,mild,pharmaceutical,Omeprazole,"Fennel Seeds, Chamomile",3.9,3.3
stomach pain,Gastritis,diabetes,senior,severe,pharmaceutical,Omeprazole,"Probiotics, Chamomile",4.9,4.5
headache,Migraine,diabetes,adult,moderate,herbal,Paracetamol,"Feverfew, Magnesium",4.9,3.2
nausea,Gastroenteritis,allergies,child,moderate,herbal,Ondansetron,"Lemon Balm, Ginger",3.7,4.6
headache,Migraine,hypertension,adult,mild,herbal,Paracetamol,"Feverfew, Butterbur",4.5,4.6
joint pain,Arthritis,diabetes,child,moderate,pharmaceutical,Ibuprofen,"Devil’s Claw, Boswellia",3.8,3.6
cough,Common Cold,asthma,senior,severe,pharmaceutical,Dextromethorphan,"Thyme Tea, Mulethi",3.7,3.2
dizziness,Vertigo,no known condition,adult,moderate,no preference,Meclizine,"Bacopa, Ginger",4.5,3.1
cough,Common Cold,diabetes,child,moderate,pharmaceutical,Dextromethorphan,"Mulethi, Honey & Ginger",4.8,3.8
dizziness,Vertigo,hypertension,adult,severe,no preference,Meclizine,"Bacopa, Ginger",4.2,4.8
fever,Viral Infection,heart disease,child,moderate,pharmaceutical,Ibuprofen,"Tulsi Tea, Elderberry",4.4,4.2
fatigue,Chronic Fatigue Syndrome,hypertension,adult,mild,no preference,Vitamin B12,"Ashwagandha, Ginseng",4.8,3.9
fatigue,Chronic Fatigue Syndrome,allergies,senior,severe,no preference,Vitamin B12,"Ashwagandha, Rhodiola",3.9,4.1
shortness of breath,Asthma,hypertension,adult,moderate,no preference,Albuterol,"Deep Breathing, Quercetin",4.3,3.6
headache,Migraine,allergies,senior,mild,pharmaceutical,Paracetamol,"Magnesium, Butterbur",3.8,3.4
dizziness,Vertigo,heart disease,adult,mild,no preference,Meclizine,"Bacopa, Ginger",3.8,4.9
dizziness,Vertigo,heart disease,child,moderate,pharmaceutical,Meclizine,"Bacopa, Ginseng",4.8,3.6
shortness of breath,Asthma,obesity,senior,severe,herbal,Albuterol,"Yoga, Deep Breathing",3.9,4.5
fatigue,Chronic Fatigue Syndrome,hypertension,child,mild,no preference,Vitamin B12,"Ashwagandha, Ginseng",3.7,3.3
skin rash,Allergic Reaction,no known condition,adult,severe,pharmaceutical,Antihistamine,"Calendula, Oatmeal",4.6,4.8
anxiety,Generalized Anxiety Disorder,hypertension,adult,severe,no preference,Alprazolam,"L-Theanine, Valerian Root",4.0,5.0
shortness of breath,Asthma,heart disease,adult,severe,pharmaceutical,Albuterol,"Quercetin, Yoga",3.8,3.7
anxiety,Generalized Anxiety Disorder,no known condition,child,severe,herbal,Alprazolam,"Chamomile, Valerian Root",4.6,3.8
joint pain,Arthritis,heart disease,child,mild,herbal,Ibuprofen,"Turmeric, Devil’s Claw",4.2,4.4
cough,Common Cold,no known condition,child,moderate,pharmaceutical,Dextromethorphan,"Thyme Tea, Honey & Ginger",4.8,4.9
sore throat,Strep Throat,allergies,adult,mild,no preference,Throat Lozenges,"Saltwater Gargle, Slippery Elm",4.5,4.5
joint pain,Arthritis,hypertension,child,mild,pharmaceutical,Ibuprofen,"Boswellia, Turmeric",4.0,3.2
dizziness,Vertigo,diabetes,adult,mild,pharmaceutical,Meclizine,"Bacopa, Ginseng",3.7,3.8
headache,Migraine,hypertension,adult,severe,pharmaceutical,Paracetamol,"Feverfew, Butterbur",4.6,3.5
cough,Common Cold,hypertension,senior,severe,no preference,Dextromethorphan,"Honey & Ginger, Mulethi",4.3,3.4
shortness of breath,Asthma,diabetes,adult,mild,pharmaceutical,Albuterol,"Yoga, Deep Breathing",4.8,4.8
joint pain,Arthritis,no known condition,adult,moderate,herbal,Ibuprofen,"Devil’s Claw, Turmeric",4.9,3.5
nausea,Gastroenteritis,heart disease,child,moderate,pharmaceutical,Ondansetron,"Lemon Balm, Peppermint Oil",3.7,4.5
nausea,Gastroenteritis,asthma,child,moderate,herbal,Ondansetron,"Lemon Balm, Peppermint Oil",3.6,4.3
shortness of breath,Asthma,allergies,senior,severe,herbal,Albuterol,"Quercetin, Yoga",4.6,4.3
sore throat,Strep Throat,allergies,senior,mild,herbal,Throat Lozenges,"Saltwater Gargle, Licorice Root Tea",4.1,5.0
joint pain,Arthritis,asthma,adult,mild,herbal,Ibuprofen,"Turmeric, Devil’s Claw",4.8,3.9
dizziness,Vertigo,obesity,adult,mild,no preference,Meclizine,"Ginger, Ginseng",3.7,3.6
stomach pain,Gastritis,asthma,adult,mild,no preference,Omeprazole,"Chamomile, Probiotics",4.0,3.9
anxiety,Generalized Anxiety Disorder,hypertension,adult,moderate,herbal,Alprazolam,"L-Theanine, Valerian Root",4.1,3.8
cough,Common Cold,hypertension,adult,moderate,no preference,Dextromethorphan,"Thyme Tea, Honey & Ginger",4.6,4.3
cough,Common Cold,allergies,child,mild,pharmaceutical,Dextromethorphan,"Thyme Tea, Mulethi",4.4,3.3
dizziness,Vertigo,no known condition,senior,severe,no preference,Meclizine,"Ginseng, Ginger",4.5,3.4
headache,Migraine,diabetes,senior,severe,no preference,Paracetamol,"Butterbur, Feverfew",4.2,3.5
insomnia,Sleep Disorder,heart disease,senior,moderate,pharmaceutical,Melatonin,"Passionflower, Magnesium",4.2,3.4
cough,Common Cold,asthma,child,moderate,no preference,Dextromethorphan,"Mulethi, Honey & Ginger",4.2,3.5
anxiety,Generalized Anxiety Disorder,asthma,adult,severe,herbal,Alprazolam,"L-Theanine, Chamomile",3.9,4.0
insomnia,Sleep Disorder,heart disease,child,mild,pharmaceutical,Melatonin,"Lavender Oil, Passionflower",4.6,5.0
anxiety,Generalized Anxiety Disorder,hypertension,senior,mild,herbal,Alprazolam,"Chamomile, L-Theanine",4.8,4.3
shortness of breath,Asthma,diabetes,child,severe,herbal,Albuterol,"Deep Breathing, Quercetin",4.0,3.8
dizziness,Vertigo,obesity,adult,mild,pharmaceutical,Meclizine,"Bacopa, Ginger",3.8,3.7
joint pain,Arthritis,hypertension,senior,severe,no preference,Ibuprofen,"Turmeric, Devil’s Claw",4.0,3.9
joint pain,Arthritis,obesity,senior,moderate,pharmaceutical,Ibuprofen,"Turmeric, Boswellia",4.2,3.1
skin rash,Allergic Reaction,allergies,senior,mild,herbal,Antihistamine,"Oatmeal, Calendula",4.8,4.6
cough,Common Cold,hypertension,adult,severe,no preference,Dextromethorphan,"Thyme Tea, Honey & Ginger",4.3,3.5
nausea,Gastroenteritis,obesity,adult,mild,herbal,Ondansetron,"Peppermint Oil, Lemon Balm",5.0,4.0
headache,Migraine,no known condition,senior,severe,no preference,Paracetamol,"Butterbur, Feverfew",5.0,3.1
cough,Common Cold,obesity,adult,severe,herbal,Dextromethorphan,"Honey & Ginger, Thyme Tea",4.5,3.1
fever,Viral Infection,asthma,adult,mild,herbal,Ibuprofen,"Elderberry, Tulsi Tea",4.3,4.3
fatigue,Chronic Fatigue Syndrome,no known condition,adult,mild,herbal,Vitamin B12,"Ginseng, Ashwagandha",4.9,3.8
insomnia,Sleep Disorder,diabetes,adult,mild,herbal,Melatonin,"Magnesium, Lavender Oil",3.9,3.2
nausea,Gastroenteritis,obesity,adult,moderate,no preference,Ondansetron,"Peppermint Oil, Ginger",3.7,4.3
joint pain,Arthritis,hypertension,senior,severe,pharmaceutical,Ibuprofen,"Boswellia, Turmeric",3.6,3.4
stomach pain,Gastritis,allergies,adult,mild,herbal,Omeprazole,"Fennel Seeds, Probiotics",4.3,3.1
dizziness,Vertigo,heart disease,senior,moderate,pharmaceutical,Meclizine,"Bacopa, Ginseng",4.9,4.1
nausea,Gastroenteritis,no known condition,adult,moderate,no preference,Ondansetron,"Peppermint Oil, Ginger",4.2,3.8
joint pain,Arthritis,no known condition,adult,moderate,no preference,Ibuprofen,"Turmeric, Devil’s Claw",4.9,4.1
muscle pain,Fibromyalgia,asthma,senior,severe,herbal,Diclofenac,"Arnica, Eucalyptus Oil",5.0,4.2
dizziness,Vertigo,no known condition,child,mild,pharmaceutical,Meclizine,"Ginseng, Bacopa",4.6,3.1
fever,Viral Infection,obesity,senior,moderate,no preference,Ibuprofen,"Giloy, Tulsi Tea",3.7,3.3
stomach pain,Gastritis,obesity,senior,moderate,herbal,Omeprazole,"Fennel Seeds, Probiotics",3.8,4.9
skin rash,Allergic Reaction,asthma,senior,mild,herbal,Antihistamine,"Calendula, Aloe Vera",4.3,4.2
muscle pain,Fibromyalgia,obesity,adult,mild,no preference,Diclofenac,"Massage Therapy, Arnica",4.4,4.0
nausea,Gastroenteritis,diabetes,senior,moderate,herbal,Ondansetron,"Peppermint Oil, Lemon Balm",4.7,4.7
fever,Viral Infection,heart disease,adult,moderate,herbal,Ibuprofen,"Giloy, Elderberry",4.0,3.0
shortness of breath,Asthma,no known condition,senior,severe,herbal,Albuterol,"Quercetin, Deep Breathing",4.7,3.5
headache,Migraine,heart disease,child,mild,pharmaceutical,Paracetamol,"Feverfew, Butterbur",4.0,3.9
fever,Viral Infection,asthma,adult,moderate,herbal,Ibuprofen,"Elderberry, Tulsi Tea",4.4,3.9
fever,Viral Infection,asthma,adult,mild,no preference,Ibuprofen,"Tulsi Tea, Elderberry",5.0,3.4
shortness of breath,Asthma,allergies,senior,severe,pharmaceutical,Albuterol,"Quercetin, Yoga",4.6,3.5
cough,Common Cold,hypertension,adult,severe,herbal,Dextromethorphan,"Mulethi, Honey & Ginger",4.3,3.1
muscle pain,Fibromyalgia,allergies,senior,severe,pharmaceutical,Diclofenac,"Massage Therapy, Arnica",3.8,4.2
joint pain,Arthritis,no known condition,senior,moderate,pharmaceutical,Ibuprofen,"Turmeric, Devil’s Claw",4.2,3.7
fever,Viral Infection,heart disease,child,moderate,herbal,Ibuprofen,"Elderberry, Giloy",3.5,4.0
dizziness,Vertigo,allergies,senior,moderate,pharmaceutical,Meclizine,"Ginger, Bacopa",4.2,3.2
fever,Viral Infection,heart disease,senior,mild,no preference,Ibuprofen,"Tulsi Tea, Giloy",4.3,4.7
muscle pain,Fibromyalgia,no known condition,adult,severe,no preference,Diclofenac,"Eucalyptus Oil, Arnica",3.8,4.2
dizziness,Vertigo,heart disease,adult,mild,pharmaceutical,Meclizine,"Ginger, Ginseng",5.0,4.5
fever,Viral Infection,hypertension,senior,severe,no preference,Ibuprofen,"Elderberry, Tulsi Tea",4.7,4.2
stomach pain,Gastritis,diabetes,senior,moderate,pharmaceutical,Omeprazole,"Probiotics, Fennel Seeds",4.9,3.2
dizziness,Vertigo,no known condition,child,moderate,pharmaceutical,Meclizine,"Ginseng, Ginger",4.2,4.6
sore throat,Strep Throat,asthma,adult,severe,pharmaceutical,Throat Lozenges,"Licorice Root Tea, Slippery Elm",4.0,3.4
fatigue,Chronic Fatigue Syndrome,asthma,child,moderate,no preference,Vitamin B12,"Rhodiola, Ashwagandha",4.9,3.2
shortness of breath,Asthma,obesity,child,mild,no preference,Albuterol,"Quercetin, Deep Breathing",3.8,3.0
nausea,Gastroenteritis,asthma,senior,moderate,no preference,Ondansetron,"Peppermint Oil, Lemon Balm",4.8,4.0
cough,Common Cold,no known condition,child,moderate,no preference,Dextromethorphan,"Thyme Tea, Honey & Ginger",4.8,4.1
insomnia,Sleep Disorder,allergies,senior,mild,pharmaceutical,Melatonin,"Lavender Oil, Passionflower",4.8,4.7
cough,Common Cold,no known condition,adult,moderate,no preference,Dextromethorphan,"Mulethi, Honey & Ginger",4.4,3.6
fatigue,Chronic Fatigue Syndrome,no known condition,adult,severe,pharmaceutical,Vitamin B12,"Ginseng, Rhodiola",4.1,4.6
insomnia,Sleep Disorder,obesity,senior,severe,no preference,Melatonin,"Magnesium, Passionflower",3.7,4.5
fatigue,Chronic Fatigue Syndrome,heart disease,child,moderate,herbal,Vitamin B12,"Rhodiola, Ashwagandha",4.1,5.0
stomach pain,Gastritis,hypertension,adult,moderate,herbal,Omeprazole,"Probiotics, Fennel Seeds",4.2,3.7
nausea,Gastroenteritis,hypertension,child,mild,no preference,Ondansetron,"Peppermint Oil, Lemon Balm",4.9,4.3
stomach pain,Gastritis,diabetes,senior,mild,pharmaceutical,Omeprazole,"Probiotics, Chamomile",4.9,3.1
fever,Viral Infection,allergies,adult,moderate,no preference,Ibuprofen,"Elderberry, Tulsi Tea",4.4,4.3
nausea,Gastroenteritis,hypertension,child,mild,pharmaceutical,Ondansetron,"Lemon Balm, Ginger",4.1,4.7
cough,Common Cold,asthma,adult,mild,no preference,Dextromethorphan,"Mulethi, Honey & Ginger",3.6,4.0
dizziness,Vertigo,diabetes,child,mild,herbal,Meclizine,"Bacopa, Ginger",3.9,3.2
stomach pain,Gastritis,diabetes,adult,severe,pharmaceutical,Omeprazole,"Probiotics, Chamomile",4.0,4.5
muscle pain,Fibromyalgia,allergies,senior,moderate,pharmaceutical,Diclofenac,"Massage Therapy, Arnica",4.0,4.7
headache,Migraine,diabetes,adult,moderate,herbal,Paracetamol,"Feverfew, Magnesium",3.9,3.2
sore throat,Strep Throat,obesity,senior,mild,herbal,Throat Lozenges,"Saltwater Gargle, Slippery Elm",4.0,3.9
dizziness,Vertigo,heart disease,senior,moderate,no preference,Meclizine,"Ginger, Bacopa",4.3,4.3
sore throat,Strep Throat,no known condition,child,mild,herbal,Throat Lozenges,"Slippery Elm, Saltwater Gargle",3.9,3.8
fatigue,Chronic Fatigue Syndrome,obesity,adult,mild,herbal,Vitamin B12,"Ashwagandha, Rhodiola",4.4,4.7
dizziness,Vertigo,diabetes,adult,severe,herbal,Meclizine,"Ginseng, Ginger",3.9,4.0
nausea,Gastroenteritis,obesity,senior,moderate,herbal,Ondansetron,"Ginger, Lemon Balm",4.2,4.6
sore throat,Strep Throat,no known condition,senior,moderate,herbal,Throat Lozenges,"Saltwater Gargle, Slippery Elm",5.0,3.5
fatigue,Chronic Fatigue Syndrome,no known condition,senior,moderate,pharmaceutical,Vitamin B12,"Rhodiola, Ashwagandha",4.8,4.8
shortness of breath,Asthma,no known condition,adult,mild,no preference,Albuterol,"Deep Breathing, Quercetin",4.7,3.4
dizziness,Vertigo,asthma,senior,mild,pharmaceutical,Meclizine,"Bacopa, Ginger",3.9,3.2
insomnia,Sleep Disorder,asthma,child,severe,herbal,Melatonin,"Magnesium, Lavender Oil",3.8,3.7
fever,Viral Infection,heart disease,adult,severe,pharmaceutical,Ibuprofen,"Tulsi Tea, Elderberry",3.7,4.9
stomach pain,Gastritis,allergies,adult,severe,pharmaceutical,Omeprazole,"Fennel Seeds, Chamomile",4.6,4.0
skin rash,Allergic Reaction,no known condition,child,mild,herbal,Antihistamine,"Aloe Vera, Oatmeal",3.6,3.7
shortness of breath,Asthma,no known condition,senior,severe,herbal,Albuterol,"Quercetin, Deep Breathing",4.5,3.2
dizziness,Vertigo,allergies,adult,severe,herbal,Meclizine,"Ginseng, Ginger",4.0,4.1
skin rash,Allergic Reaction,hypertension,adult,mild,herbal,Antihistamine,"Aloe Vera, Calendula",3.6,3.9
nausea,Gastroenteritis,asthma,child,mild,pharmaceutical,Ondansetron,"Ginger, Lemon Balm",4.3,4.7
insomnia,Sleep Disorder,obesity,senior,mild,no preference,Melatonin,"Magnesium, Lavender Oil",3.6,4.4
muscle pain,Fibromyalgia,no known condition,child,severe,no preference,Diclofenac,"Eucalyptus Oil, Arnica",4.6,3.3
anxiety,Generalized Anxiety Disorder,no known condition,senior,severe,herbal,Alprazolam,"Valerian Root, L-Theanine",3.8,3.8
insomnia,Sleep Disorder,obesity,adult,mild,herbal,Melatonin,"Lavender Oil, Magnesium",4.8,4.5
insomnia,Sleep Disorder,heart disease,senior,mild,herbal,Melatonin,"Lavender Oil, Magnesium",4.0,4.0
dizziness,Vertigo,heart disease,adult,severe,herbal,Meclizine,"Bacopa, Ginseng",4.2,4.0
dizziness,Vertigo,allergies,senior,severe,no preference,Meclizine,"Bacopa, Ginseng",4.1,4.0
shortness of breath,Asthma,allergies,senior,severe,pharmaceutical,Albuterol,"Yoga, Quercetin",4.8,4.0
muscle pain,Fibromyalgia,diabetes,adult,moderate,no preference,Diclofenac,"Massage Therapy, Eucalyptus Oil",3.9,3.3
stomach pain,Gastritis,diabetes,senior,mild,pharmaceutical,Omeprazole,"Probiotics, Chamomile",3.7,3.6
anxiety,Generalized Anxiety Disorder,asthma,adult,severe,no preference,Alprazolam,"L-Theanine, Valerian Root",3.7,4.8
insomnia,Sleep Disorder,asthma,child,severe,herbal,Melatonin,"Magnesium, Lavender Oil",3.6,5.0
joint pain,Arthritis,hypertension,adult,severe,pharmaceutical,Ibuprofen,"Devil’s Claw, Turmeric",3.7,3.2
stomach pain,Gastritis,no known condition,senior,severe,pharmaceutical,Omeprazole,"Fennel Seeds, Chamomile",4.4,4.5
cough,Common Cold,heart disease,adult,mild,pharmaceutical,Dextromethorphan,"Honey & Ginger, Thyme Tea",3.8,3.4
fever,Viral Infection,no known condition,child,severe,pharmaceutical,Ibuprofen,"Elderberry, Giloy",4.4,3.9
sore throat,Strep Throat,allergies,child,mild,herbal,Throat Lozenges,"Saltwater Gargle, Slippery Elm",4.9,4.0
headache,Migraine,hypertension,adult,moderate,pharmaceutical,Paracetamol,"Butterbur, Feverfew",4.5,3.1
shortness of breath,Asthma,allergies,senior,moderate,herbal,Albuterol,"Quercetin, Deep Breathing",3.8,3.9
skin rash,Allergic Reaction,diabetes,child,mild,pharmaceutical,Antihistamine,"Oatmeal, Calendula",4.3,4.1
headache,Migraine,heart disease,adult,mild,herbal,Paracetamol,"Feverfew, Butterbur",3.6,3.2
muscle pain,Fibromyalgia,no known condition,child,severe,pharmaceutical,Diclofenac,"Arnica, Eucalyptus Oil",4.3,4.6
nausea,Gastroenteritis,diabetes,senior,mild,pharmaceutical,Ondansetron,"Peppermint Oil, Lemon Balm",3.8,3.8
nausea,Gastroenteritis,asthma,adult,moderate,no preference,Ondansetron,"Lemon Balm, Ginger",4.0,4.7
cough,Common Cold,no known condition,adult,moderate,pharmaceutical,Dextromethorphan,"Mulethi, Thyme Tea",3.6,3.2
nausea,Gastroenteritis,obesity,child,mild,herbal,Ondansetron,"Peppermint Oil, Lemon Balm",3.8,3.9
stomach pain,Gastritis,asthma,adult,moderate,pharmaceutical,Omeprazole,"Probiotics, Chamomile",3.8,3.5
fatigue,Chronic Fatigue Syndrome,asthma,child,moderate,herbal,Vitamin B12,"Ginseng, Ashwagandha",4.8,4.7
anxiety,Generalized Anxiety Disorder,heart disease,senior,mild,no preference,Alprazolam,"L-Theanine, Valerian Root",4.9,4.6
joint pain,Arthritis,heart disease,child,moderate,herbal,Ibuprofen,"Devil’s Claw, Turmeric",4.4,3.9
joint pain,Arthritis,asthma,child,moderate,herbal,Ibuprofen,"Boswellia, Devil’s Claw",4.3,3.6
sore throat,Strep Throat,asthma,adult,severe,pharmaceutical,Throat Lozenges,"Saltwater Gargle, Licorice Root Tea",4.4,3.7
shortness of breath,Asthma,no known condition,child,moderate,no preference,Albuterol,"Quercetin, Yoga",4.7,3.9
fever,Viral Infection,diabetes,adult,mild,herbal,Ibuprofen,"Elderberry, Tulsi Tea",4.1,3.4
cough,Common Cold,heart disease,child,moderate,herbal,Dextromethorphan,"Mulethi, Thyme Tea",4.6,4.0
stomach pain,Gastritis,hypertension,child,moderate,herbal,Omeprazole,"Probiotics, Fennel Seeds",4.1,4.6
dizziness,Vertigo,diabetes,senior,severe,no preference,Meclizine,"Bacopa, Ginseng",3.8,3.3
skin rash,Allergic Reaction,no known condition,senior,severe,herbal,Antihistamine,"Aloe Vera, Oatmeal",4.6,4.5
sore throat,Strep Throat,hypertension,senior,moderate,pharmaceutical,Throat Lozenges,"Slippery Elm, Licorice Root Tea",3.5,4.3
stomach pain,Gastritis,obesity,child,moderate,no preference,Omeprazole,"Chamomile, Probiotics",3.9,4.0
fatigue,Chronic Fatigue Syndrome,allergies,child,severe,herbal,Vitamin B12,"Ashwagandha, Rhodiola",3.6,3.5
dizziness,Vertigo,allergies,child,moderate,no preference,Meclizine,"Bacopa, Ginseng",4.1,4.8
joint pain,Arthritis,asthma,adult,moderate,herbal,Ibuprofen,"Devil’s Claw, Turmeric",3.7,4.8
muscle pain,Fibromyalgia,obesity,adult,moderate,no preference,Diclofenac,"Arnica, Massage Therapy",4.4,4.7
shortness of breath,Asthma,hypertension,adult,severe,no preference,Albuterol,"Quercetin, Yoga",5.0,4.4
fatigue,Chronic Fatigue Syndrome,obesity,adult,moderate,herbal,Vitamin B12,"Rhodiola, Ashwagandha",3.6,5.0
joint pain,Arthritis,asthma,adult,moderate,pharmaceutical,Ibuprofen,"Turmeric, Devil’s Claw",3.8,3.3
shortness of breath,Asthma,hypertension,child,moderate,pharmaceutical,Albuterol,"Yoga, Quercetin",4.4,4.6
insomnia,Sleep Disorder,allergies,senior,mild,no preference,Melatonin,"Passionflower, Lavender Oil",4.1,3.3
nausea,Gastroenteritis,no known condition,child,mild,herbal,Ondansetron,"Ginger, Lemon Balm",4.3,3.2
shortness of breath,Asthma,heart disease,child,mild,herbal,Albuterol,"Quercetin, Deep Breathing",3.6,3.8
skin rash,Allergic Reaction,heart disease,adult,moderate,herbal,Antihistamine,"Aloe Vera, Calendula",4.2,4.8
fever,Viral Infection,diabetes,adult,moderate,herbal,Ibuprofen,"Elderberry, Tulsi Tea",4.7,4.2
fatigue,Chronic Fatigue Syndrome,no known condition,adult,mild,no preference,Vitamin B12,"Ginseng, Rhodiola",3.8,3.2
cough,Common Cold,diabetes,adult,mild,pharmaceutical,Dextromethorphan,"Honey & Ginger, Mulethi",4.7,4.0
shortness of breath,Asthma,diabetes,child,severe,no preference,Albuterol,"Deep Breathing, Yoga",4.0,4.2
joint pain,Arthritis,no known condition,adult,mild,pharmaceutical,Ibuprofen,"Devil’s Claw, Turmeric",4.0,4.8
skin rash,Allergic Reaction,no known condition,child,mild,herbal,Antihistamine,"Calendula, Oatmeal",4.2,4.3
sore throat,Strep Throat,heart disease,senior,mild,no preference,Throat Lozenges,"Licorice Root Tea, Slippery Elm",4.8,4.5
anxiety,Generalized Anxiety Disorder,allergies,adult,mild,pharmaceutical,Alprazolam,"Chamomile, Valerian Root",4.4,4.9
sore throat,Strep Throat,diabetes,child,mild,no preference,Throat Lozenges,"Saltwater Gargle, Slippery Elm",4.7,3.8
fever,Viral Infection,allergies,child,mild,no preference,Ibuprofen,"Tulsi Tea, Giloy",3.9,4.8
cough,Common Cold,no known condition,senior,severe,pharmaceutical,Dextromethorphan,"Thyme Tea, Honey & Ginger",4.7,4.6
